"Ratio of education and health expenditure to military expenditure"
"123","Morocco","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"148","Myanmar","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","Nauru","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"157","Nigeria","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"60","Palau","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"119","Palestine, State of","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"66","Panama","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"153","Papua New Guinea","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"72","Saint Kitts and Nevis","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"90","Saint Lucia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"99","Saint Vincent and the Grenadines","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"104","Samoa","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","San Marino","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"143","Sao Tome and Principe","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"152","Solomon Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","Somalia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"100","Suriname","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"155","Syrian Arab Republic","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"80","The former Yugoslav Republic of Macedonia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"132","Timor-Leste","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"98","Tonga","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"69","Trinidad and Tobago","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"108","Turkmenistan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","Tuvalu","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"34","United Arab Emirates","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"105","Uzbekistan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"138","Vanuatu","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"78","Venezuela (Bolivarian Republic of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
""
"Last updated: January 29, 2019"
